
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000381                       # Number of seconds simulated (Second)
simTicks                                    380514000                       # Number of ticks simulated (Tick)
finalTick                                   380514000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.86                       # Real time elapsed on the host (Second)
hostTickRate                                204982926                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     623880                       # Number of bytes of host memory used (Byte)
simInsts                                       309670                       # Number of instructions simulated (Count)
simOps                                         309670                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   166809                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     166809                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           761029                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.457548                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.406910                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          311489                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       11                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         311145                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     15                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 1829                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               854                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              752623                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.413414                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.049219                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    629680     83.66%     83.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     30252      4.02%     87.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     35496      4.72%     92.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     19531      2.60%     95.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     37230      4.95%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       300      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                        76      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        32      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        26      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                752623                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       4      4.65%      4.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      4.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      4.65% # attempts to use FU when none available (Count)
